"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","89.5","967.4","7.5","0.8","141.0"
"Sam LaPorta","DET","86.3","893.8","7.7","0.4","134.9"
"Mark Andrews","BAL","71.9","870.1","7.9","0.5","133.5"
"George Kittle","SF","65.4","881.4","6.0","0.4","123.4"
"Kyle Pitts","ATL","68.0","878.2","5.2","0.4","118.0"
"Trey McBride","ARI","86.0","881.6","5.1","0.5","117.4"
"Dalton Kincaid","BUF","83.1","830.5","5.4","0.8","113.9"
"Jake Ferguson","DAL","70.7","736.5","5.9","0.4","108.2"
"David Njoku","CLE","69.9","772.3","5.4","1.2","107.5"
"Evan Engram","JAC","85.3","786.8","4.4","0.9","103.0"
"Brock Bowers","LV","62.8","697.7","4.6","1.1","95.2"
"Dallas Goedert","PHI","66.0","699.6","4.1","0.5","93.5"
"Dalton Schultz","HOU","57.3","610.7","4.9","0.8","88.8"
"Pat Freiermuth","PIT","58.2","606.2","4.4","0.5","86.0"
"Taysom Hill","NO","27.5","261.5","2.1","0.3","81.8"
"Cole Kmet","CHI","54.5","538.2","4.3","0.5","78.7"
"T.J. Hockenson","MIN","59.7","596.0","3.3","0.8","77.9"
"Hunter Henry","NE","47.6","492.6","4.2","0.1","74.4"
"Tyler Conklin","NYJ","54.0","538.9","3.4","0.1","73.8"
"Cade Otton","TB","49.2","490.0","3.7","0.4","70.6"
"Luke Musgrave","GB","46.7","489.7","3.4","0.1","69.2"
"Juwan Johnson","NO","40.5","441.4","4.1","0.1","68.8"
"Chigoziem Okonkwo","TEN","48.2","513.3","2.7","0.4","66.7"
"Noah Fant","SEA","45.9","490.2","2.8","0.1","65.4"
"Isaiah Likely","BAL","32.2","388.1","3.7","0.0","61.0"
"Jonnu Smith","MIA","37.8","415.6","2.8","0.4","57.8"
"Hayden Hurst","LAC","40.5","390.8","2.9","0.1","56.1"
"Mike Gesicki","CIN","36.4","356.9","3.1","0.1","54.5"
"Ben Sinnott","WAS","37.3","387.2","2.6","0.4","53.8"
"Tucker Kraft","GB","34.0","354.6","2.6","0.1","50.7"
"Dawson Knox","BUF","28.3","297.9","3.3","0.1","49.4"
"Greg Dulcich","DEN","33.8","374.4","1.9","0.1","49.0"
"Zach Ertz","WAS","36.8","342.0","2.5","0.1","49.0"
"Tyler Higbee","LAR","33.9","347.4","2.1","0.1","47.2"
"Colby Parkinson","LAR","29.7","314.1","2.5","0.1","46.0"
"Daniel Bellinger","NYG","35.3","334.0","2.1","0.1","45.6"
"Ja'Tavion Sanders","CAR","29.9","311.6","2.3","0.4","44.2"
"Michael Mayer","LV","29.6","317.7","2.0","0.1","43.7"
"Tommy Tremble","CAR","27.5","261.8","2.5","0.1","40.8"
"Gerald Everett","CHI","29.8","275.4","2.2","0.1","40.7"
"Jaheim Bell","NE","23.0","253.0","2.0","0.0","37.3"
"Theo Johnson","NYG","28.3","273.2","1.8","0.6","36.9"
"Jelani Woods","IND","22.7","263.7","1.8","0.1","36.8"
"Kylen Granson","IND","23.8","258.0","1.5","0.0","34.8"
"Noah Gray","KC","22.6","237.3","1.7","0.1","34.0"
"Will Dissly","LAC","23.5","225.8","1.5","0.1","31.4"
"Brevin Jordan","HOU","14.7","188.1","1.9","0.0","30.0"
"Donald Parham Jr.","LAC","15.1","158.5","2.1","0.0","28.4"
"Robert Tonyan","MIN","20.1","189.7","1.4","0.0","27.2"
"Durham Smythe","MIA","19.5","190.0","1.3","0.0","26.6"
"Mo Alie-Cox","IND","13.8","155.5","1.8","0.0","26.6"
"Tanner Hudson","CIN","18.6","179.4","1.4","0.0","26.5"
"Adam Trautman","DEN","17.0","167.0","1.5","0.0","25.9"
"Brock Wright","DET","15.7","149.5","1.5","0.1","24.1"
"Austin Hooper","NE","19.5","184.6","0.9","0.0","24.0"
"Elijah Higgins","ARI","16.3","177.8","1.0","0.0","23.6"
"Jeremy Ruckert","NYJ","16.2","161.3","1.2","0.1","23.1"
"Josh Oliver","MIN","16.1","157.0","1.2","0.4","22.2"
"Johnny Mundt","MIN","16.8","161.0","0.8","0.0","21.0"
"Davis Allen","LAR","13.8","140.9","1.0","0.0","20.1"
"Foster Moreau","NO","12.5","139.2","1.0","0.0","20.1"
"Dallin Holker","NO","13.0","135.0","1.0","0.0","19.5"
"Josh Whyle","TEN","12.5","127.9","1.1","0.0","19.2"
"Pharaoh Brown","SEA","12.0","132.0","0.9","0.0","18.7"
"Will Mallory","IND","12.3","131.1","0.9","0.0","18.6"
"Devin Culp","TB","12.0","124.5","1.0","0.0","18.5"
"Tanner McLachlan","CIN","12.0","123.0","1.0","0.0","18.3"
"Brayden Willis","SF","10.0","121.0","1.0","0.0","18.1"
"Connor Heyward","PIT","15.3","137.6","0.7","0.0","18.1"
"Trey Knox","MIN","12.0","119.0","1.0","0.0","17.9"
"John FitzPatrick","ATL","11.0","118.0","1.0","0.0","17.8"
"Peyton Hendershot","DAL","11.6","117.4","1.0","0.0","17.8"
"Jack Stoll","NYG","13.1","122.1","0.9","0.0","17.6"
"Luke Schoonmaker","DAL","10.8","111.0","1.1","0.0","17.5"
"AJ Barner","SEA","11.9","123.8","0.8","0.0","17.4"
"Darnell Washington","PIT","12.0","119.7","0.8","0.0","16.8"
"Teagan Quitoriano","HOU","6.5","100.6","1.1","0.0","16.6"
"Travis Vokolek","ARI","11.0","102.0","1.0","0.0","16.2"
"Ian Thomas","CAR","12.6","128.8","0.6","0.0","16.2"
"Irv Smith Jr.","KC","11.4","102.9","1.0","0.0","16.2"
"Stone Smartt","LAC","9.7","108.8","0.8","0.0","15.8"
"Brenton Strange","JAC","9.7","92.0","1.0","0.0","15.2"
"Cade Stover","HOU","9.9","105.7","0.8","0.0","15.2"
"La'Michael Pettway","NE","10.0","91.0","1.0","0.0","15.1"
"Erick All Jr.","CIN","10.3","103.3","0.8","0.0","15.1"
"Jordan Akins","CLE","10.3","101.4","0.8","0.1","15.0"
"Tip Reiman","ARI","10.2","99.2","0.8","0.0","14.7"
"Jared Wiley","KC","9.6","98.5","0.8","0.0","14.6"
"Lucas Krull","DEN","9.6","101.4","0.7","0.0","14.4"
"Drew Ogletree","IND","7.9","101.4","0.7","0.0","14.2"
"Payne Durham","TB","9.2","96.8","0.7","0.0","14.0"
"Drew Sample","CIN","10.5","94.2","0.8","0.0","14.0"
"Quintin Morris","BUF","7.0","75.0","1.1","0.0","13.8"
"MyCole Pruitt","PIT","6.2","67.7","1.1","0.0","13.6"
"Cameron Latu","SF","9.4","87.5","0.8","0.0","13.6"
"James Mitchell","DET","8.0","83.3","0.7","0.0","12.4"
"Ross Dwelley","ATL","6.0","83.9","0.7","0.0","12.3"
"Ben Sims","GB","6.5","56.5","1.1","0.0","12.2"
"Miller Forristall","LAR","7.5","78.5","0.6","0.0","11.6"
"Harrison Bryant","LV","7.7","76.6","0.6","0.0","11.4"
"Grant Calcaterra","PHI","7.4","76.3","0.6","0.0","11.4"
"Armani Rogers","PHI","6.5","76.6","0.6","0.0","11.1"
"Luke Farrell","JAC","7.4","74.9","0.6","0.0","10.8"
"Nick Vannett","TEN","6.3","69.9","0.6","0.0","10.5"
"Giovanni Ricci","CLE","7.3","72.7","0.5","0.1","10.4"
"Cole Turner","WAS","6.0","68.9","0.6","0.0","10.4"
"Eric Saubert","SF","8.5","73.0","0.5","0.0","10.3"
"C.J. Uzomah","PHI","6.1","59.2","0.7","0.0","10.1"
"John Bates","WAS","8.1","77.0","0.4","0.0","10.1"
"Cole Fotheringham","LV","5.9","57.9","0.6","0.0","9.3"
"Hunter Long","LAR","5.4","55.3","0.6","0.0","9.0"
"Lawrence Cager","NYG","7.6","66.4","0.4","0.0","8.8"
"Josiah Deguara","JAC","7.1","60.9","0.4","0.0","8.6"
"Ko Kieft","TB","5.6","56.6","0.5","0.1","8.3"
"Charlie Woerner","ATL","8.1","63.1","0.3","0.0","8.3"
"John Stephens Jr.","DAL","4.0","41.0","0.3","0.0","6.1"
"Kenny Yeboah","NYJ","3.8","37.0","0.3","0.0","5.4"
"Charlie Kolar","BAL","3.6","36.8","0.1","0.0","4.3"
"Dalton Keene","HOU","2.0","21.2","0.2","0.0","3.1"
"Tre' McKitty","BUF","2.1","20.8","0.2","0.0","3.1"
"Shane Zylstra","DET","2.0","20.0","0.2","0.0","3.0"
"Tyler Davis","GB","2.0","19.9","0.2","0.0","3.0"
"Jody Fortson Jr.","MIA","2.1","19.7","0.2","0.0","3.0"
"Tommy Hudson","NO","2.0","19.5","0.2","0.0","3.0"
"Julian Hill","MIA","2.1","19.2","0.2","0.0","2.9"
"Brady Russell","SEA","2.0","19.0","0.2","0.0","2.9"
"Zack Kuntz","NYJ","1.9","18.2","0.2","0.0","2.8"
"Albert Okwuegbunam Jr.","PHI","1.9","18.1","0.2","0.0","2.8"
"Eric Tomlinson","IND","1.8","17.7","0.2","0.0","2.8"
"Zach Gentry","LV","1.7","15.9","0.2","0.0","2.6"
"Rodney Williams","PIT","1.7","15.8","0.2","0.0","2.6"
"Mitchell Wilcox","NE","3.4","24.3","0.0","0.0","2.6"
"Nate Adkins","DEN","1.8","15.8","0.2","0.0","2.5"
"Chris Manhertz","NYG","1.9","16.8","0.1","0.0","2.4"
"Anthony Firkser","NYJ","0.2","2.2","0.0","0.0","0.3"
""
""
